1	2	35	33
2	2	36	33
3	2	37	33
4	2	41	40
5	2	42	40
6	2	58	56
7	2	75	74
8	2	76	74
9	2	83	82
10	2	100	99
11	2	101	99
12	2	102	99
13	2	105	104
14	2	111	110
15	2	112	110
16	2	128	127
17	2	129	127
18	2	130	127
19	3	145	143
20	2	116	150
21	2	153	152
22	3	201	200
23	2	208	207
24	2	210	209
25	2	241	240
26	2	242	240
27	2	243	240
28	2	251	250
29	2	263	262
30	2	265	264
31	2	260	266
32	2	261	267
33	2	292	291
34	2	293	291
35	2	294	291
36	3	296	295
37	3	297	295
38	3	299	298
39	3	301	300
40	2	304	303
41	2	305	303
42	2	304	306
43	2	305	306
44	2	304	307
45	2	305	307
46	2	310	309
47	3	326	325
48	2	342	341
49	2	344	343
50	3	397	396
51	3	397	398
52	3	400	399
53	3	400	403
54	2	557	563
55	2	564	563
56	2	565	563
57	2	648	647
58	2	993	992
59	2	1016	1015
60	2	1030	1029
61	2	1031	1029
62	3	1035	1034
63	2	1038	1037
64	2	1039	1037
65	3	1051	1050
66	2	1055	1054
67	2	1056	1054
68	2	1057	1054
69	3	1059	1058
70	3	1059	1060
71	3	1088	1087
72	3	1089	1087
73	3	1094	1096
74	2	1110	1109
75	2	1111	1109
76	2	1127	1126
77	2	1144	1143
78	2	1145	1143
79	3	1197	1196
80	3	1197	1198
81	3	1197	1199
82	3	1197	1200
83	3	1202	1201
84	3	1202	1203
85	3	1202	1204
86	3	1202	1205
87	3	1234	1233
88	3	1234	1235
89	3	1234	1236
90	3	1238	1237
91	2	1265	1264
92	2	76	1456
93	2	2446	2445
94	2	2447	2445
95	2	2448	2445
96	2	2449	2445
97	2	2523	2522
98	2	2526	2525
99	2	2528	2527
100	2	2530	2529
101	2	2532	2531
102	2	2555	2554
103	2	2555	2556
104	3	2595	2594
105	3	2898	2899
106	3	2900	2899
107	2	2901	2902
108	2	2901	2903
109	2	100	2904
110	2	2894	2911
111	2	2912	2911
112	2	837	2917
113	2	921	2917
114	2	2918	2917
115	2	737	2919
